SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,A2C_LSTM
6,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,471
294,104,201,315,143,316,187,297,297,202,261,408,315,201,99,105,324,110
288,94,175,330,264,151,293,328,151,294,330,215,89,96,211,288,196,116
306,487,202,312,276,229,184,276,312,212,2,63,154,133,306,128,159,278
261,113,256,317,246,291,182,211,108,109,297,215,282,321,282,215,332,114
318,285,230,324,324,255,60,44,153,127,318,202,318,222,318,122,138,309
114,109,77,292,99,109,268,324,324,120,300,414,300,125,324,324,303,114
321,327,42,94,297,152,273,240,300,268,321,233,300,300,293,147,317,139
285,110,212,282,285,129,324,185,315,340,315,300,319,129,285,282,207,105
303,107,88,132,291,249,332,214,303,249,297,214,291,137,283,102,88,138
291,111,249,310,291,139,174,291,304,139,291,90,249,86,109,196,201,109
294,276,410,137,279,278,314,248,279,137,140,46,107,278,282,282,248,112
231,97,61,294,273,301,298,294,296,92,14,225,315,123,118,315,235,474
288,344,159,163,288,163,314,39,116,154,306,68,117,122,293,306,149,111
294,108,73,294,293,103,66,254,273,146,288,227,227,358,146,273,314,221
147,133,432,83,91,128,317,273,135,162,142,382,157,140,273,317,128,101
0,530,51,148,300,141,171,324,332,331,281,57,324,196,141,300,138,271
6,148,254,273,246,195,266,273,135,135,273,136,190,306,273,254,93,486
